city,current_temperature,wind_speed,weather,chance_of_rain
Maturín,2,33,Rainy,29
Xianren,5,96,Rainy,47
Kacangan Lor,62,2,Rainy,29
Zhaike,36,79,Sunny,72
Huichang,84,65,Cloudy,18
Redakodi,43,98,Rainy,14
Ramat HaSharon,71,100,Rainy,95
Warungpeuteuy,95,18,Sunny,17
Zemio,54,50,Sunny,71
Nueva Requena,55,40,Cloudy,62
Västerås,72,43,Sunny,43
Wuluquele,43,14,Rainy,55
Przytyk,93,21,Cloudy,50
Belyy Gorodok,72,83,Sunny,20
Sivaki,75,70,Cloudy,78
Bonavista,22,50,Cloudy,7
Gazojak,22,17,Rainy,22
Anchau,19,98,Sunny,6
Salimbalan,17,64,Sunny,32
Jiantian,55,45,Rainy,81
Lianrao,47,47,Rainy,100
Rouen,74,28,Rainy,62
Tamanan,9,67,Cloudy,12
Kuala Terengganu,79,87,Rainy,64
San Felipe Old,66,24,Cloudy,45
La Punta,14,3,Sunny,83
Apt,89,12,Sunny,66
Beiyuan,19,5,Cloudy,13
Lianhe,16,51,Cloudy,59
Mibu,78,89,Cloudy,21
Daytona Beach,46,56,Sunny,61
Semanding Barat,90,52,Cloudy,82
Lekaj,21,50,Cloudy,96
Sheshory,1,23,Cloudy,20
Guancheng,1,93,Sunny,79
Bulri,69,64,Sunny,36
Järfälla,67,11,Sunny,72
Qiancheng,17,1,Sunny,68
Beaufort,59,34,Sunny,40
Adelaide Mail Centre,22,62,Rainy,81
Ostrowsko,30,15,Rainy,67
Artemivs’k,50,10,Rainy,36
San Emilio,0,93,Rainy,79
Jastrzębia,73,75,Rainy,66
Linköping,5,28,Cloudy,15
Shigu,72,2,Sunny,5
Terek,19,81,Rainy,45
San Jerónimo,2,4,Sunny,31
Sidirókastro,45,13,Rainy,9
Outeiro,76,2,Cloudy,94
