Web Search interest: farzan athari
Worldwide; 2004 - present

Interest over time
Month,farzan athari
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,27
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,23
2010-12,18
2011-01,18
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,17
2011-11,17
2011-12,19
2012-01,17
2012-02,12
2012-03,12
2012-04,16
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,10
2013-05,13
2013-06,15
2013-07,18
2013-08,20
2013-09,23
2013-10,9
2013-11,35
2013-12,61
2014-01,86
2014-02,45
2014-03,100
2014-04,42
2014-05,27
2014-06,15
2014-07,13
2014-08,10
2014-09,9
2014-10,10
2014-11,11
2014-12,20
2015-01,13
2015-02,13
2015-03,13
2015-04,13
2015-05,8
2015-06,9
2015-07,8
2015-08,8
2015-09,27
2015-10,46
2015-11,64
2015-12,83




Top cities for farzan athari
City,farzan athari
Stockholm (Sweden),100
Tehrān (Iran),94









