Web Search interest: real madrid
Worldwide; 2004 - present

Interest over time
Week,real madrid
2004-01-04 - 2004-01-10,11
2004-01-11 - 2004-01-17,11
2004-01-18 - 2004-01-24,13
2004-01-25 - 2004-01-31,12
2004-02-01 - 2004-02-07,13
2004-02-08 - 2004-02-14,13
2004-02-15 - 2004-02-21,12
2004-02-22 - 2004-02-28,18
2004-02-29 - 2004-03-06,15
2004-03-07 - 2004-03-13,23
2004-03-14 - 2004-03-20,15
2004-03-21 - 2004-03-27,16
2004-03-28 - 2004-04-03,12
2004-04-04 - 2004-04-10,17
2004-04-11 - 2004-04-17,11
2004-04-18 - 2004-04-24,13
2004-04-25 - 2004-05-01,17
2004-05-02 - 2004-05-08,12
2004-05-09 - 2004-05-15,12
2004-05-16 - 2004-05-22,16
2004-05-23 - 2004-05-29,13
2004-05-30 - 2004-06-05,10
2004-06-06 - 2004-06-12,10
2004-06-13 - 2004-06-19,9
2004-06-20 - 2004-06-26,8
2004-06-27 - 2004-07-03,9
2004-07-04 - 2004-07-10,10
2004-07-11 - 2004-07-17,11
2004-07-18 - 2004-07-24,10
2004-07-25 - 2004-07-31,12
2004-08-01 - 2004-08-07,13
2004-08-08 - 2004-08-14,21
2004-08-15 - 2004-08-21,15
2004-08-22 - 2004-08-28,14
2004-08-29 - 2004-09-04,15
2004-09-05 - 2004-09-11,11
2004-09-12 - 2004-09-18,14
2004-09-19 - 2004-09-25,16
2004-09-26 - 2004-10-02,14
2004-10-03 - 2004-10-09,11
2004-10-10 - 2004-10-16,10
2004-10-17 - 2004-10-23,11
2004-10-24 - 2004-10-30,10
2004-10-31 - 2004-11-06,11
2004-11-07 - 2004-11-13,12
2004-11-14 - 2004-11-20,16
2004-11-21 - 2004-11-27,15
2004-11-28 - 2004-12-04,10
2004-12-05 - 2004-12-11,11
2004-12-12 - 2004-12-18,13
2004-12-19 - 2004-12-25,11
2004-12-26 - 2005-01-01,11
2005-01-02 - 2005-01-08,13
2005-01-09 - 2005-01-15,16
2005-01-16 - 2005-01-22,13
2005-01-23 - 2005-01-29,12
2005-01-30 - 2005-02-05,11
2005-02-06 - 2005-02-12,11
2005-02-13 - 2005-02-19,12
2005-02-20 - 2005-02-26,15
2005-02-27 - 2005-03-05,12
2005-03-06 - 2005-03-12,16
2005-03-13 - 2005-03-19,12
2005-03-20 - 2005-03-26,8
2005-03-27 - 2005-04-02,8
2005-04-03 - 2005-04-09,11
2005-04-10 - 2005-04-16,18
2005-04-17 - 2005-04-23,11
2005-04-24 - 2005-04-30,10
2005-05-01 - 2005-05-07,11
2005-05-08 - 2005-05-14,12
2005-05-15 - 2005-05-21,12
2005-05-22 - 2005-05-28,10
2005-05-29 - 2005-06-04,10
2005-06-05 - 2005-06-11,10
2005-06-12 - 2005-06-18,11
2005-06-19 - 2005-06-25,11
2005-06-26 - 2005-07-02,12
2005-07-03 - 2005-07-09,12
2005-07-10 - 2005-07-16,15
2005-07-17 - 2005-07-23,18
2005-07-24 - 2005-07-30,16
2005-07-31 - 2005-08-06,16
2005-08-07 - 2005-08-13,12
2005-08-14 - 2005-08-20,10
2005-08-21 - 2005-08-27,17
2005-08-28 - 2005-09-03,21
2005-09-04 - 2005-09-10,13
2005-09-11 - 2005-09-17,16
2005-09-18 - 2005-09-24,15
2005-09-25 - 2005-10-01,14
2005-10-02 - 2005-10-08,12
2005-10-09 - 2005-10-15,10
2005-10-16 - 2005-10-22,13
2005-10-23 - 2005-10-29,14
2005-10-30 - 2005-11-05,13
2005-11-06 - 2005-11-12,12
2005-11-13 - 2005-11-19,18
2005-11-20 - 2005-11-26,20
2005-11-27 - 2005-12-03,12
2005-12-04 - 2005-12-10,15
2005-12-11 - 2005-12-17,12
2005-12-18 - 2005-12-24,15
2005-12-25 - 2005-12-31,13
2006-01-01 - 2006-01-07,16
2006-01-08 - 2006-01-14,13
2006-01-15 - 2006-01-21,16
2006-01-22 - 2006-01-28,13
2006-01-29 - 2006-02-04,13
2006-02-05 - 2006-02-11,17
2006-02-12 - 2006-02-18,18
2006-02-19 - 2006-02-25,19
2006-02-26 - 2006-03-04,16
2006-03-05 - 2006-03-11,16
2006-03-12 - 2006-03-18,10
2006-03-19 - 2006-03-25,11
2006-03-26 - 2006-04-01,14
2006-04-02 - 2006-04-08,12
2006-04-09 - 2006-04-15,8
2006-04-16 - 2006-04-22,9
2006-04-23 - 2006-04-29,11
2006-04-30 - 2006-05-06,12
2006-05-07 - 2006-05-13,10
2006-05-14 - 2006-05-20,12
2006-05-21 - 2006-05-27,9
2006-05-28 - 2006-06-03,8
2006-06-04 - 2006-06-10,8
2006-06-11 - 2006-06-17,8
2006-06-18 - 2006-06-24,8
2006-06-25 - 2006-07-01,9
2006-07-02 - 2006-07-08,20
2006-07-09 - 2006-07-15,17
2006-07-16 - 2006-07-22,23
2006-07-23 - 2006-07-29,26
2006-07-30 - 2006-08-05,20
2006-08-06 - 2006-08-12,19
2006-08-13 - 2006-08-19,17
2006-08-20 - 2006-08-26,19
2006-08-27 - 2006-09-02,19
2006-09-03 - 2006-09-09,12
2006-09-10 - 2006-09-16,17
