Web Search interest: dog
Worldwide; 2004 - present

Interest over time
Week,dog
2004-01-04 - 2004-01-10,77
2004-01-11 - 2004-01-17,72
2004-01-18 - 2004-01-24,78
2004-01-25 - 2004-01-31,76
2004-02-01 - 2004-02-07,77
2004-02-08 - 2004-02-14,91
2004-02-15 - 2004-02-21,79
2004-02-22 - 2004-02-28,74
2004-02-29 - 2004-03-06,73
2004-03-07 - 2004-03-13,74
2004-03-14 - 2004-03-20,71
2004-03-21 - 2004-03-27,74
2004-03-28 - 2004-04-03,71
2004-04-04 - 2004-04-10,75
2004-04-11 - 2004-04-17,73
2004-04-18 - 2004-04-24,73
2004-04-25 - 2004-05-01,72
2004-05-02 - 2004-05-08,71
2004-05-09 - 2004-05-15,69
2004-05-16 - 2004-05-22,69
2004-05-23 - 2004-05-29,69
2004-05-30 - 2004-06-05,68
2004-06-06 - 2004-06-12,68
2004-06-13 - 2004-06-19,70
2004-06-20 - 2004-06-26,72
2004-06-27 - 2004-07-03,72
2004-07-04 - 2004-07-10,75
2004-07-11 - 2004-07-17,77
2004-07-18 - 2004-07-24,77
2004-07-25 - 2004-07-31,77
2004-08-01 - 2004-08-07,78
2004-08-08 - 2004-08-14,75
2004-08-15 - 2004-08-21,76
2004-08-22 - 2004-08-28,72
2004-08-29 - 2004-09-04,73
2004-09-05 - 2004-09-11,71
2004-09-12 - 2004-09-18,71
2004-09-19 - 2004-09-25,71
2004-09-26 - 2004-10-02,69
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,71
2004-10-17 - 2004-10-23,71
2004-10-24 - 2004-10-30,70
2004-10-31 - 2004-11-06,69
2004-11-07 - 2004-11-13,72
2004-11-14 - 2004-11-20,73
2004-11-21 - 2004-11-27,72
2004-11-28 - 2004-12-04,74
2004-12-05 - 2004-12-11,74
2004-12-12 - 2004-12-18,74
2004-12-19 - 2004-12-25,75
2004-12-26 - 2005-01-01,75
2005-01-02 - 2005-01-08,78
2005-01-09 - 2005-01-15,75
2005-01-16 - 2005-01-22,76
2005-01-23 - 2005-01-29,73
2005-01-30 - 2005-02-05,76
2005-02-06 - 2005-02-12,78
2005-02-13 - 2005-02-19,93
2005-02-20 - 2005-02-26,75
2005-02-27 - 2005-03-05,72
2005-03-06 - 2005-03-12,72
2005-03-13 - 2005-03-19,72
2005-03-20 - 2005-03-26,74
2005-03-27 - 2005-04-02,75
2005-04-03 - 2005-04-09,71
2005-04-10 - 2005-04-16,71
2005-04-17 - 2005-04-23,72
2005-04-24 - 2005-04-30,72
2005-05-01 - 2005-05-07,76
2005-05-08 - 2005-05-14,74
2005-05-15 - 2005-05-21,73
2005-05-22 - 2005-05-28,72
2005-05-29 - 2005-06-04,72
2005-06-05 - 2005-06-11,71
2005-06-12 - 2005-06-18,72
2005-06-19 - 2005-06-25,74
2005-06-26 - 2005-07-02,73
2005-07-03 - 2005-07-09,76
2005-07-10 - 2005-07-16,77
2005-07-17 - 2005-07-23,75
2005-07-24 - 2005-07-30,76
2005-07-31 - 2005-08-06,77
2005-08-07 - 2005-08-13,75
2005-08-14 - 2005-08-20,79
2005-08-21 - 2005-08-27,78
2005-08-28 - 2005-09-03,71
2005-09-04 - 2005-09-10,72
2005-09-11 - 2005-09-17,71
2005-09-18 - 2005-09-24,72
2005-09-25 - 2005-10-01,72
2005-10-02 - 2005-10-08,72
2005-10-09 - 2005-10-15,75
2005-10-16 - 2005-10-22,70
2005-10-23 - 2005-10-29,73
2005-10-30 - 2005-11-05,72
2005-11-06 - 2005-11-12,73
2005-11-13 - 2005-11-19,72
2005-11-20 - 2005-11-26,78
2005-11-27 - 2005-12-03,78
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,75
2005-12-25 - 2005-12-31,79
2006-01-01 - 2006-01-07,79
2006-01-08 - 2006-01-14,79
2006-01-15 - 2006-01-21,77
2006-01-22 - 2006-01-28,79
2006-01-29 - 2006-02-04,83
2006-02-05 - 2006-02-11,73
2006-02-12 - 2006-02-18,82
2006-02-19 - 2006-02-25,73
2006-02-26 - 2006-03-04,71
2006-03-05 - 2006-03-11,73
2006-03-12 - 2006-03-18,73
2006-03-19 - 2006-03-25,71
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,69
2006-04-09 - 2006-04-15,70
2006-04-16 - 2006-04-22,71
2006-04-23 - 2006-04-29,70
2006-04-30 - 2006-05-06,72
2006-05-07 - 2006-05-13,69
2006-05-14 - 2006-05-20,68
2006-05-21 - 2006-05-27,73
2006-05-28 - 2006-06-03,69
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,68
2006-06-18 - 2006-06-24,70
2006-06-25 - 2006-07-01,72
2006-07-02 - 2006-07-08,73
2006-07-09 - 2006-07-15,74
2006-07-16 - 2006-07-22,72
2006-07-23 - 2006-07-29,74
2006-07-30 - 2006-08-05,77
2006-08-06 - 2006-08-12,78
2006-08-13 - 2006-08-19,78
2006-08-20 - 2006-08-26,74
2006-08-27 - 2006-09-02,71
2006-09-03 - 2006-09-09,69
2006-09-10 - 2006-09-16,78
2006-09-17 - 2006-09-23,81
2006-09-24 - 2006-09-30,71
2006-10-01 - 2006-10-07,70
2006-10-08 - 2006-10-14,69
2006-10-15 - 2006-10-21,70
2006-10-22 - 2006-10-28,71
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,67
2006-11-12 - 2006-11-18,68
2006-11-19 - 2006-11-25,67
2006-11-26 - 2006-12-02,70
2006-12-03 - 2006-12-09,71
2006-12-10 - 2006-12-16,70
2006-12-17 - 2006-12-23,68
2006-12-24 - 2006-12-30,72
2006-12-31 - 2007-01-06,76
2007-01-07 - 2007-01-13,72
2007-01-14 - 2007-01-20,72
2007-01-21 - 2007-01-27,69
2007-01-28 - 2007-02-03,69
2007-02-04 - 2007-02-10,68
2007-02-11 - 2007-02-17,76
2007-02-18 - 2007-02-24,73
2007-02-25 - 2007-03-03,66
2007-03-04 - 2007-03-10,68
2007-03-11 - 2007-03-17,71
2007-03-18 - 2007-03-24,100
2007-03-25 - 2007-03-31,79
2007-04-01 - 2007-04-07,95
2007-04-08 - 2007-04-14,78
2007-04-15 - 2007-04-21,77
2007-04-22 - 2007-04-28,74
2007-04-29 - 2007-05-05,74
2007-05-06 - 2007-05-12,68
2007-05-13 - 2007-05-19,69
2007-05-20 - 2007-05-26,67
2007-05-27 - 2007-06-02,67
