name,money
Buzzdog,$23297.78
Vinte,$19253.74
JumpXS,$62745.83
Buzzshare,$37271.85
Dazzlesphere,$46824.30
Mynte,$62029.50
Mydeo,$59674.89
Kwinu,$67273.39
Linkbuzz,$92731.03
Demivee,$23504.78
Yodoo,$16947.97
Quimba,$35187.01
Twitterbeat,$27676.34
Yodel,$39565.74
Browsecat,$71260.11
Skinix,$65988.31
Mynte,$63661.65
Mita,$74269.60
Twitterbeat,$45849.38
Voomm,$48005.35
Eadel,$16081.35
Brightbean,$68523.74
Skinix,$26191.01
Browsedrive,$32544.15
Jaxnation,$15689.58
Yabox,$51103.51
Jayo,$71768.49
Wordware,$39552.30
Skyba,$27724.29
Kare,$15516.49
Voomm,$86234.34
Npath,$36684.71
Edgetag,$86997.23
Edgepulse,$73262.29
Mynte,$15397.36
Livefish,$24810.76
Yodel,$57163.00
Zoonder,$10636.97
Meembee,$42993.26
Jabbersphere,$58610.89
Yoveo,$13048.59
Chatterpoint,$19523.73
Jayo,$47482.36
Kwideo,$67937.46
Topiclounge,$98605.41
Buzzshare,$79949.14
Meejo,$70494.15
Thoughtbridge,$86658.27
Skiptube,$99724.34
Eadel,$30831.19
Meembee,$29382.60
Jatri,$95420.14
Mybuzz,$41219.02
Topicstorm,$24251.82
Meevee,$38217.40
Snaptags,$33297.27
Meembee,$57572.27
Avamm,$79008.84
Voomm,$60768.15
Einti,$61618.50
Tagpad,$95699.52
Jayo,$10088.75
Dabjam,$34460.99
Buzzbean,$80258.32
Rhyzio,$34101.69
Youtags,$98738.38
Thoughtbeat,$72777.49
Oyoyo,$82613.26
Photobug,$97796.81
Browsedrive,$94195.04
Trilia,$46441.38
Oodoo,$79035.10
Gabcube,$57646.48
Feedfish,$60426.41
Skaboo,$56232.09
Muxo,$45966.59
Centimia,$23050.32
Brainverse,$88441.01
Oyondu,$36656.32
Thoughtblab,$59275.49
Trudoo,$23861.04
Jaxworks,$17977.72
Trupe,$54312.30
Tagtune,$10881.22
Kaymbo,$97404.61
Twinder,$31193.60
Devpulse,$49435.55
Thoughtworks,$85031.57
Wikizz,$21074.57
Yambee,$20903.22
Skynoodle,$17107.36
Kanoodle,$83233.16
Wordpedia,$98817.00
Skibox,$64410.23
Flashpoint,$13014.92
Skinte,$50338.57
Ailane,$56196.73
Kwimbee,$97329.36
Aibox,$40242.80
Jaxnation,$93561.78
